t_s,frame_ms,cpu_ms,gpu_ms,dist_m,phase
0.000057,0.0570,0.6630,3.0040,0.00,move_early
0.012753,12.6960,0.8530,3.2080,0.00,move_early
0.023562,10.8090,0.6550,3.2650,0.56,move_early
0.034552,10.9900,0.7110,3.2340,1.03,move_early
0.050070,15.5180,0.7160,3.0080,1.48,move_early
0.218579,168.5090,0.7120,3.0080,6.44,move_early
0.280040,61.4610,0.8090,2.9850,8.56,move_early
0.292331,12.2910,1.3210,2.9720,11.23,move_early
0.351773,59.4420,1.1010,2.9670,11.45,move_early
0.366563,14.7900,0.9430,3.0220,13.88,move_early
0.377813,11.2500,1.1680,2.9790,14.56,move_early
0.390856,13.0430,0.7990,4.4240,14.89,move_early
0.400681,9.8250,0.9600,2.9810,15.39,move_early
0.410043,9.3620,0.8480,2.9790,15.77,move_early
0.430916,20.8730,0.6810,2.9590,16.15,move_early
0.445123,14.2070,0.6990,3.5840,16.67,move_early
0.457654,12.5310,0.7810,3.0150,17.23,move_early
0.519976,62.3220,0.7210,3.2710,17.72,move_early
0.533256,13.2800,0.7470,3.2200,20.56,move_early
0.543550,10.2940,1.0780,3.1580,21.23,move_early
0.557575,14.0250,0.7070,2.9510,21.49,move_early
0.572255,14.6800,0.6320,2.9690,22.05,move_early
0.587134,14.8790,0.7530,3.0030,22.72,move_early
0.598894,11.7600,0.7500,2.9660,23.39,move_early
0.609107,10.2130,0.7350,2.9560,23.89,move_early
0.623255,14.1480,0.6930,2.9680,24.39,move_early
0.632743,9.4880,0.6310,2.9710,24.89,move_early
0.647758,15.0150,0.6490,2.9690,25.39,move_early
0.660195,12.4370,0.6430,2.9390,25.89,move_early
0.672862,12.6670,0.6940,2.9640,26.39,move_early
0.723279,50.4170,0.6710,3.2100,26.89,move_early
0.728839,5.5600,0.6600,2.9680,28.39,move_early
0.732581,3.7420,0.9730,2.9780,29.05,move_early
0.736848,4.2670,0.9180,4.5320,29.43,move_early
0.739819,2.9710,0.6840,2.9490,29.55,move_early
0.743147,3.3280,0.5950,3.2100,29.68,move_early
0.746147,3.0000,0.6250,2.9750,29.80,move_early
0.749462,3.3150,0.5840,3.2040,29.93,move_early
0.752483,3.0210,0.6120,2.9720,30.06,move_early
0.755583,3.1000,0.5700,2.9790,30.18,move_early
0.821169,65.5860,0.6790,2.9750,30.31,move_early
0.870271,49.1020,0.6250,2.9500,32.56,move_early
0.929479,59.2080,0.9980,2.9940,34.56,move_early
0.944778,15.2990,1.2090,2.9970,37.03,move_early
0.960464,15.6860,1.3680,3.1870,37.93,move_early
0.978875,18.4110,1.1140,4.0110,38.19,move_early
1.046392,67.5170,0.8480,2.9720,38.94,move_early
1.164753,118.3610,0.9710,3.2310,41.71,move_early
1.191260,26.5070,1.3360,3.1670,46.40,move_early
1.202369,11.1090,1.1400,2.9460,47.44,move_early
1.222720,20.3510,0.9060,2.9400,47.89,move_early
1.249305,26.5850,0.6400,3.1480,48.68,move_early
1.301628,52.3230,0.7740,3.6330,49.89,move_early
1.319677,18.0490,0.7830,2.9510,51.53,move_early
1.336895,17.2180,1.0580,2.9760,52.56,move_early
1.349203,12.3080,0.8670,3.1340,53.58,move_early
1.369469,20.2660,0.7210,2.9810,54.07,move_early
1.381469,12.0000,0.8130,2.9800,54.87,move_early
1.399750,18.2810,0.6930,3.6880,55.34,move_early
1.425307,25.5570,0.6390,2.9490,56.07,move_early
1.442218,16.9110,0.7190,4.1290,56.85,move_early
1.451900,9.6820,1.0070,2.9830,57.61,move_early
1.461751,9.8510,0.7370,2.9460,58.15,move_early
1.523165,61.4140,0.6230,2.9590,58.55,move_early
1.535880,12.7150,0.6960,4.1680,60.56,move_early
1.547819,11.9390,0.9820,2.9860,61.23,move_early
1.567097,19.2780,0.6870,3.2130,61.89,move_early
1.585784,18.6870,0.6630,3.0630,62.77,move_early
1.600447,14.6630,0.6710,3.0900,63.51,move_early
1.620479,20.0320,0.6430,3.1320,64.10,move_early
1.661924,41.4450,0.6240,3.0970,64.88,move_early
1.678361,16.4370,0.7470,3.1030,65.92,move_early
1.692304,13.9430,0.9580,3.0960,66.72,move_early
1.704834,12.5300,0.9580,3.0770,67.49,move_early
1.717034,12.2000,0.7430,3.1010,68.28,move_early
1.734590,17.5560,0.6760,3.1000,68.80,move_early
1.748653,14.0630,0.9700,3.0790,69.48,move_early
1.769593,20.9400,0.8250,3.0740,70.13,move_early
1.849816,80.2230,1.5430,3.2580,70.88,move_early
1.865713,15.8970,1.0160,3.0710,73.82,move_early
1.888412,22.6990,1.2880,3.1040,74.56,move_early
1.900692,12.2800,0.9040,4.4740,75.64,move_early
1.913921,13.2290,0.8340,3.0680,75.89,move_early
1.930194,16.2730,1.0640,4.1620,76.73,move_early
1.995787,65.5930,1.5050,3.0590,77.33,move_early
2.008770,12.9830,0.9850,3.0880,79.65,move_early
2.031889,23.1190,1.1470,3.0870,80.46,move_early
2.097211,65.3220,0.8390,3.3830,81.41,move_early
2.143342,46.1310,1.1260,4.2460,83.39,move_early
2.160570,17.2280,1.2590,3.4520,85.21,move_early
2.173300,12.7300,1.1110,3.0810,86.53,move_early
2.240561,67.2610,0.8670,3.5990,87.04,move_early
2.263342,22.7810,0.8960,3.0520,89.12,move_early
2.278992,15.6500,1.1770,4.9470,90.45,move_early
2.293827,14.8350,1.1160,3.0570,91.30,move_early
2.308231,14.4040,1.0400,3.5650,91.56,move_early
2.321259,13.0280,1.0890,4.1010,92.13,move_early
2.343724,22.4650,1.0780,3.6480,92.80,move_early
2.366702,22.9780,0.9900,3.9230,93.46,move_early
2.377721,11.0190,1.1190,3.0990,94.14,move_early
2.388674,10.9530,1.0270,3.2870,94.80,move_early
2.405282,16.6080,0.6660,3.9130,95.47,move_early
2.429346,24.0640,0.6710,3.0570,96.14,move_early
2.472984,43.6380,0.9130,3.7790,96.80,move_early
2.493202,20.2180,1.0460,3.2950,98.39,move_early
2.512751,19.5490,1.0730,3.8010,99.21,move_early
2.534102,21.3510,1.1830,3.8200,100.10,move_early
2.554983,20.8810,1.0050,3.0440,100.98,move_early
2.574032,19.0490,1.0480,3.4490,101.87,move_early
2.593812,19.7800,0.8240,3.0620,102.76,move_early
2.612902,19.0900,0.9140,4.6860,103.65,move_early
2.637072,24.1700,0.8050,3.1000,104.54,move_early
2.652808,15.7360,0.8890,3.7440,105.43,move_early
2.665819,13.0110,1.0300,3.0900,106.23,move_early
2.679998,14.1790,0.8270,3.4440,106.75,move_early
2.692343,12.3450,1.0350,3.0500,107.33,move_early
2.702966,10.6230,1.0060,3.0570,107.83,move_early
2.718951,15.9850,0.9310,3.0680,108.22,move_early
2.731006,12.0550,0.7580,3.4100,108.84,move_early
2.745469,14.4630,0.6820,3.0700,109.34,move_early
2.761418,15.9490,0.8440,3.5740,109.92,move_early
2.772850,11.4320,0.7510,3.4330,110.45,move_early
2.836175,63.3250,0.6740,3.0670,110.98,move_early
2.892678,56.5030,0.7130,4.4750,113.23,move_early
2.914013,21.3350,1.7630,3.0560,115.23,move_early
2.928253,14.2400,1.2030,3.0780,116.35,move_early
2.942156,13.9030,0.9540,3.0850,117.24,move_early
2.959286,17.1300,0.8370,5.1280,117.48,move_early
