t_s,frame_ms,cpu_ms,gpu_ms,dist_m,phase
0.000067,0.0670,0.8650,2.7230,0.00,move_early
0.016803,16.7360,0.9400,2.7280,0.00,move_early
0.030500,13.6970,1.0790,3.6930,0.84,move_early
0.092355,61.8550,0.9660,2.7430,1.38,move_early
0.152471,60.1160,1.0280,2.7130,3.86,move_early
0.415394,262.9230,1.0260,2.7130,9.33,move_early
0.432570,17.1760,1.0060,2.7290,12.12,move_early
0.446010,13.4400,0.9530,2.6570,12.77,move_early
0.462538,16.5280,0.7210,3.1380,13.33,move_early
0.476963,14.4250,0.6480,2.8650,14.01,move_early
0.484803,7.8400,0.8280,2.6700,14.68,move_early
0.490878,6.0750,0.9200,2.6600,15.20,move_early
0.496081,5.2030,0.7160,2.6540,15.43,move_early
0.501358,5.2770,0.6870,3.7450,15.67,move_early
0.505299,3.9410,0.6390,2.6370,15.84,move_early
0.509457,4.1580,0.5900,2.8500,16.00,move_early
0.520104,10.6470,0.6800,2.6250,16.16,move_early
0.523772,3.6680,0.5550,3.6870,16.41,move_early
0.527344,3.5720,0.5250,2.6620,16.67,move_early
0.530963,3.6190,0.5620,3.6380,16.87,move_early
0.534431,3.4680,0.4910,2.6440,17.01,move_early
0.537965,3.5340,0.4690,3.2720,17.15,move_early
0.541493,3.5280,0.5530,2.6350,17.29,move_early
0.544937,3.4440,0.4560,3.2220,17.43,move_early
0.548477,3.5400,0.5010,2.6470,17.57,move_early
0.551887,3.4100,0.4630,3.0510,17.71,move_early
0.555475,3.5880,0.4850,2.6310,17.84,move_early
0.559264,3.7890,0.4970,3.5930,18.00,move_early
0.563318,4.0540,0.4950,3.9970,18.16,move_early
0.566929,3.6110,0.4540,2.6300,18.31,move_early
0.570480,3.5510,0.6030,2.6340,18.45,move_early
0.573748,3.2680,0.4710,2.6180,18.59,move_early
0.576968,3.2200,0.4800,2.6280,18.72,move_early
0.580341,3.3730,0.4670,2.6200,18.85,move_early
0.583739,3.3980,0.5330,2.6270,18.99,move_early
0.586869,3.1300,0.5140,2.6190,19.12,move_early
0.590027,3.1580,0.4640,2.6250,19.24,move_early
0.593612,3.5850,0.5180,3.4330,19.38,move_early
0.597106,3.4940,0.4610,2.6410,19.51,move_early
0.600843,3.7370,0.6060,3.2970,19.64,move_early
0.604325,3.4820,0.4650,2.6360,19.78,move_early
0.607610,3.2850,0.4520,3.1100,19.91,move_early
0.610923,3.3130,0.4520,2.6480,20.04,move_early
0.614423,3.5000,0.4610,3.0690,20.18,move_early
0.617806,3.3830,0.4720,2.6440,20.31,move_early
0.621360,3.5540,0.4760,3.2000,20.44,move_early
0.624724,3.3640,0.4620,2.6350,20.58,move_early
0.628188,3.4640,0.4760,3.1830,20.71,move_early
0.631796,3.6080,0.5380,2.6320,20.84,move_early
0.635251,3.4550,0.4700,3.2330,20.98,move_early
0.639409,4.1580,0.4790,2.6240,21.11,move_early
0.642810,3.4010,0.4940,3.2410,21.24,move_early
0.646301,3.4910,0.4820,2.6320,21.38,move_early
0.649851,3.5500,0.5360,3.1370,21.51,move_early
0.653438,3.5870,0.4930,2.6190,21.64,move_early
0.656930,3.4920,0.5640,3.1280,21.78,move_early
0.660295,3.3650,0.4690,2.6310,21.91,move_early
0.663955,3.6600,0.4760,3.5190,22.04,move_early
0.716291,52.3360,0.4630,2.6260,22.18,move_early
0.777683,61.3920,0.5870,2.6050,24.00,move_early
0.792172,14.4890,0.9680,3.3810,26.61,move_early
0.805538,13.3660,0.8940,2.6230,27.33,move_early
0.816484,10.9460,0.7460,2.6370,28.02,move_early
0.827451,10.9670,0.6590,2.5940,28.14,move_early
0.886322,58.8710,0.7650,2.5810,28.80,move_early
0.944008,57.6860,0.6450,2.8530,30.62,move_early
1.012326,68.3180,0.9540,2.6100,33.27,move_early
1.026939,14.6130,0.9040,2.6100,36.00,move_early
1.038642,11.7030,0.8960,3.8930,36.88,move_early
1.050790,12.1480,0.6570,2.6060,37.33,move_early
1.060387,9.5970,0.5270,2.5650,37.48,move_early
1.065907,5.5200,0.5070,2.8080,38.14,move_early
