t_s,frame_ms,cpu_ms,gpu_ms,dist_m,phase
0.000041,0.0410,0.5740,3.9560,0.00,move_early
0.012924,12.8830,0.5800,3.1070,0.00,move_early
0.018478,5.5540,0.6100,3.0980,0.28,move_early
0.021652,3.1740,0.8050,3.1000,0.49,move_early
0.024250,2.5980,0.7260,3.0760,0.65,move_early
0.027516,3.2660,0.6310,3.0770,0.82,move_early
0.031015,3.4990,0.5980,3.1080,0.99,move_early
0.035205,4.1900,0.6180,3.0440,1.15,move_early
0.038546,3.3410,0.7080,3.0570,1.32,move_early
0.041014,2.4680,0.5950,3.0640,1.49,move_early
0.044125,3.1110,0.6240,3.0640,1.65,move_early
0.047530,3.4050,0.6220,3.0720,1.82,move_early
0.050659,3.1290,0.5950,3.0490,1.99,move_early
0.056266,5.6070,0.5900,3.0850,2.15,move_early
0.058840,2.5740,0.5980,3.0620,2.32,move_early
0.062015,3.1750,0.6280,3.0510,2.47,move_early
0.065200,3.1850,0.6050,3.0670,2.61,move_early
0.069823,4.6230,0.5940,3.8370,2.77,move_early
0.073982,4.1590,0.6040,4.0940,2.93,move_early
0.077127,3.1450,0.6090,3.0660,3.08,move_early
0.081376,4.2490,0.5990,4.0980,3.23,move_early
0.084468,3.0920,0.6040,3.0670,3.38,move_early
0.088019,3.5510,0.5960,3.4320,3.53,move_early
0.091112,3.0930,0.6830,3.0630,3.67,move_early
0.094579,3.4670,0.5800,3.3320,3.82,move_early
0.097743,3.1640,0.5720,3.0360,3.97,move_early
0.101060,3.3170,0.6080,3.3220,4.12,move_early
0.104215,3.1550,0.6040,3.0800,4.27,move_early
0.107290,3.0750,0.5800,3.0000,4.42,move_early
0.110803,3.5130,0.5670,3.0120,4.56,move_early
0.113766,2.9630,0.5720,2.9810,4.71,move_early
0.117295,3.5290,0.6070,3.0250,4.86,move_early
0.120426,3.1310,0.6990,2.9880,5.01,move_early
0.124930,4.5040,0.5570,3.4840,5.16,move_early
0.128103,3.1730,0.5750,3.0270,5.30,move_early
0.132559,4.4560,0.5510,3.2440,5.45,move_early
0.136999,4.4400,0.5530,4.2500,5.60,move_early
0.140316,3.3170,0.5650,3.0140,5.75,move_early
0.143772,3.4560,0.5590,3.3870,5.90,move_early
0.146825,3.0530,0.5770,2.9880,6.05,move_early
0.150209,3.3840,0.5520,3.3430,6.19,move_early
0.153314,3.1050,0.5750,3.0120,6.34,move_early
0.156888,3.5740,0.6100,3.3650,6.49,move_early
0.160052,3.1640,0.8420,2.9770,6.64,move_early
0.163827,3.7750,0.8040,3.7970,6.79,move_early
0.167809,3.9820,0.5720,3.0030,6.93,move_early
0.171754,3.9450,0.6050,4.0010,7.08,move_early
0.174837,3.0830,0.5730,2.9830,7.23,move_early
0.178930,4.0930,0.6010,4.0280,7.38,move_early
0.181956,3.0260,0.5780,2.9980,7.53,move_early
0.187223,5.2670,0.5710,3.3280,7.67,move_early
0.190217,2.9940,0.7200,2.9680,7.82,move_early
0.193622,3.4050,0.5920,2.9890,7.97,move_early
0.196835,3.2130,0.6050,2.9720,8.12,move_early
0.199902,3.0670,0.5930,3.0050,8.27,move_early
0.203042,3.1400,0.5720,3.0070,8.42,move_early
0.206499,3.4570,0.5840,3.2580,8.56,move_early
0.209465,2.9660,0.5680,2.9930,8.69,move_early
0.212989,3.5240,0.5610,3.4010,8.83,move_early
0.216050,3.0610,0.5830,3.0050,8.95,move_early
0.220364,4.3140,0.5590,4.2330,9.10,move_early
0.223781,3.4170,0.5710,2.9750,9.25,move_early
0.228019,4.2380,0.5800,4.2650,9.40,move_early
0.231248,3.2290,0.6360,2.9770,9.54,move_early
0.236070,4.8220,0.6120,4.4810,9.69,move_early
0.238965,2.8950,0.5760,2.9840,9.84,move_early
0.242303,3.3380,0.5550,3.0230,9.99,move_early
0.245426,3.1230,0.5670,2.9790,10.13,move_early
0.248757,3.3310,0.5590,2.9960,10.26,move_early
0.251804,3.0470,0.6070,2.9670,10.38,move_early
0.255292,3.4880,0.5610,3.3220,10.52,move_early
0.258249,2.9570,0.5470,2.9470,10.64,move_early
0.261561,3.3120,0.5680,3.2310,10.77,move_early
0.264640,3.0790,0.5670,2.9830,10.90,move_early
0.269153,4.5130,0.5530,4.2430,11.03,move_early
0.272458,3.3050,0.5550,3.0020,11.17,move_early
0.276432,3.9740,0.5610,4.0620,11.30,move_early
0.279519,3.0870,0.5580,2.9870,11.44,move_early
0.283581,4.0620,0.5750,3.9770,11.57,move_early
0.293538,9.9570,0.5720,2.9890,11.70,move_early
0.303567,10.0290,0.6000,3.3570,11.84,move_early
0.309152,5.5850,0.9880,3.0010,11.99,move_early
0.312893,3.7410,0.8320,3.0060,12.14,move_early
0.316475,3.5820,0.7890,2.9950,12.29,move_early
0.320403,3.9280,0.7000,2.9870,12.50,move_early
0.323068,2.6650,0.9300,2.9710,12.65,move_early
0.326152,3.0840,0.8820,2.9670,12.80,move_early
0.329155,3.0030,0.5660,2.9470,12.95,move_early
0.332386,3.2310,0.5680,2.9720,13.10,move_early
0.335473,3.0870,0.5680,2.9200,13.24,move_early
0.338698,3.2250,0.5950,3.2140,13.39,move_early
0.341715,3.0170,0.5650,2.9490,13.54,move_early
0.346162,4.4470,0.5800,4.2650,13.69,move_early
0.349468,3.3060,0.5770,2.9580,13.84,move_early
0.354604,5.1360,0.7490,4.1910,13.98,move_early
0.357047,2.4430,0.5840,2.9810,14.13,move_early
0.361553,4.5060,0.5680,3.2380,14.28,move_early
0.364610,3.0570,0.5930,3.0030,14.43,move_early
0.369278,4.6680,0.6030,3.7200,14.58,move_early
0.373297,4.0190,0.5630,3.9970,14.72,move_early
0.376351,3.0540,0.8020,2.9840,14.87,move_early
0.380595,4.2440,0.5740,4.2240,15.02,move_early
0.384026,3.4310,0.6030,2.9870,15.17,move_early
0.388462,4.4360,0.5890,4.4650,15.32,move_early
0.393852,5.3900,0.5940,5.2930,15.47,move_early
0.397125,3.2730,0.5850,2.9560,15.61,move_early
0.400488,3.3630,0.7500,3.2560,15.76,move_early
0.403547,3.0590,0.5470,2.9610,15.91,move_early
0.409538,5.9910,0.5900,3.3600,16.06,move_early
0.412379,2.8410,0.7340,2.9460,16.21,move_early
0.415498,3.1190,0.6080,3.2830,16.35,move_early
0.419977,4.4790,0.5650,2.9690,16.50,move_early
0.423215,3.2380,0.6390,3.2520,16.65,move_early
0.426184,2.9690,0.5960,2.9580,16.80,move_early
0.429408,3.2240,0.5800,2.9960,16.95,move_early
0.432434,3.0260,0.5300,2.9390,17.10,move_early
0.435829,3.3950,0.5570,3.2350,17.24,move_early
0.438858,3.0290,0.6210,2.9650,17.39,move_early
0.442247,3.3890,0.5530,3.3600,17.54,move_early
0.445268,3.0210,0.5540,2.9600,17.69,move_early
0.448442,3.1740,0.5610,2.9970,17.84,move_early
0.452925,4.4830,0.5500,3.2500,17.98,move_early
0.458927,6.0020,0.5830,5.7050,18.13,move_early
0.461826,2.8990,0.6270,2.9710,18.28,move_early
0.466425,4.5990,0.5630,3.2170,18.43,move_early
0.470309,3.8840,0.5600,3.7910,18.58,move_early
0.473948,3.6390,0.6980,2.9970,18.72,move_early
0.478128,4.1800,0.5690,4.0220,18.87,move_early
0.481070,2.9420,0.5660,2.9380,19.02,move_early
0.485292,4.2220,0.5610,3.9780,19.17,move_early
0.488411,3.1190,0.5600,2.9740,19.32,move_early
0.491580,3.1690,0.5860,3.2750,19.47,move_early
0.494562,2.9820,0.5570,2.9520,19.61,move_early
0.497863,3.3010,0.5540,3.2430,19.76,move_early
0.500994,3.1310,0.5480,2.9420,19.91,move_early
