t_s,frame_ms,cpu_ms,gpu_ms,dist_m,phase
0.000034,0.0340,0.5790,3.6890,0.00,move_early
0.003982,3.9480,0.5700,4.3260,0.00,move_early
0.009146,5.1640,0.6250,3.0570,0.18,move_early
0.013041,3.8950,0.7980,3.0700,0.35,move_early
0.016570,3.5290,0.6030,3.0470,0.48,move_early
0.020596,4.0260,0.6340,3.6560,0.67,move_early
0.025945,5.3490,0.6360,5.2580,0.85,move_early
0.029140,3.1950,0.6060,3.0740,1.01,move_early
0.034112,4.9720,0.6050,3.6670,1.19,move_early
0.038470,4.3580,0.6080,4.2910,1.38,move_early
0.042221,3.7510,0.5920,3.0920,1.54,move_early
0.047114,4.8930,0.6330,3.0760,1.72,move_early
0.050247,3.1330,0.6090,3.0700,1.86,move_early
0.055290,5.0430,0.7140,3.6430,2.04,move_early
0.060214,4.9240,0.8270,4.9430,2.22,move_early
0.063415,3.2010,0.6360,3.0720,2.38,move_early
0.068367,4.9520,0.5870,3.6620,2.55,move_early
0.072783,4.4160,0.6170,4.3020,2.72,move_early
0.076403,3.6200,0.6290,3.0650,2.88,move_early
0.081386,4.9830,0.6260,4.8950,3.05,move_early
0.084557,3.1710,0.8000,3.0800,3.22,move_early
0.089918,5.3610,0.6470,3.9840,3.38,move_early
0.094270,4.3520,0.6230,4.2930,3.55,move_early
0.098168,3.8980,0.6420,3.0630,3.72,move_early
0.102956,4.7880,0.5890,4.2380,3.88,move_early
0.106194,3.2380,0.6050,3.0330,4.05,move_early
0.110997,4.8030,0.5820,3.6730,4.22,move_early
0.116022,5.0250,0.6560,4.8820,4.38,move_early
0.119185,3.1630,0.5810,3.0010,4.55,move_early
0.130965,11.7800,0.5900,3.6160,4.72,move_early
0.133654,2.6890,0.6200,4.2340,4.88,move_early
0.136846,3.1920,0.6360,3.0490,5.05,move_early
0.139948,3.1020,0.5710,3.0020,5.22,move_early
0.144877,4.9290,0.5850,3.6180,5.38,move_early
0.149183,4.3060,0.5870,4.2840,5.55,move_early
0.152783,3.6000,0.5680,3.0460,5.72,move_early
0.157854,5.0710,0.5710,4.8430,5.88,move_early
0.162347,4.4930,0.5890,4.3860,6.05,move_early
0.173785,11.4380,0.5690,3.9700,6.22,move_early
0.180702,6.9170,0.6590,4.8470,6.40,move_early
0.184554,3.8520,0.8580,3.0020,6.67,move_early
0.187935,3.3810,0.7300,3.3930,6.85,move_early
0.192316,4.3810,0.6200,4.9770,7.03,move_early
0.195137,2.8210,0.6090,3.0080,7.21,move_early
0.200126,4.9890,0.6250,3.6220,7.39,move_early
0.204497,4.3710,0.5820,4.2600,7.58,move_early
0.208138,3.6410,0.5600,3.0020,7.76,move_early
0.212822,4.6840,0.5900,4.6030,7.94,move_early
0.225487,12.6650,0.5780,2.9910,8.12,move_early
0.230010,4.5230,0.5950,4.6060,8.30,move_early
0.233035,3.0250,0.6920,3.0280,8.49,move_early
0.235819,2.7840,0.6210,3.0080,8.67,move_early
0.240131,4.3120,0.6280,4.2240,8.86,move_early
0.243347,3.2160,0.5990,2.9860,9.04,move_early
0.247669,4.3220,0.6270,4.2060,9.22,move_early
0.250665,2.9960,0.5790,2.9940,9.40,move_early
0.255220,4.5550,0.6330,3.2360,9.58,move_early
0.261946,6.7260,0.5980,2.9850,9.76,move_early
0.269304,7.3580,0.6130,3.1900,9.95,move_early
0.273840,4.5360,0.6080,4.4170,10.13,move_early
0.276710,2.8700,0.6100,3.0070,10.31,move_early
0.280419,3.7090,0.6370,3.9190,10.49,move_early
0.284582,4.1630,0.5960,2.9900,10.67,move_early
0.289170,4.5880,0.6040,4.6460,10.86,move_early
0.292211,3.0410,0.5760,2.9860,11.04,move_early
0.296491,4.2800,0.5640,3.0000,11.22,move_early
0.299542,3.0510,0.5480,3.0060,11.40,move_early
0.304113,4.5710,0.7470,3.2600,11.58,move_early
0.308181,4.0680,0.6280,4.0050,11.76,move_early
0.311970,3.7890,0.6000,2.9710,11.95,move_early
0.316312,4.3420,0.5640,4.2460,12.13,move_early
0.319600,3.2880,0.5720,3.0020,12.29,move_early
0.324995,5.3950,0.5750,4.4600,12.48,move_early
0.327513,2.5180,0.5650,2.9860,12.64,move_early
0.331741,4.2280,0.6810,3.2460,12.81,move_early
0.334814,3.0730,0.5870,2.9860,12.98,move_early
0.339313,4.4990,0.5630,3.2080,13.14,move_early
