t_s,frame_ms,cpu_ms,gpu_ms,dist_m,phase
0.000046,0.0460,0.6130,3.5390,0.00,move_early
0.010612,10.5660,0.5630,3.6930,0.00,move_early
0.014798,4.1860,0.9910,3.4430,0.12,move_early
0.017904,3.1060,0.8030,3.5950,0.12,move_early
0.021405,3.5010,0.5850,3.4340,0.13,move_early
0.025111,3.7060,0.6140,3.5810,0.17,move_early
0.028585,3.4740,0.5770,3.4330,0.25,move_early
0.032492,3.9070,0.6230,3.8310,0.29,move_early
0.036066,3.5740,0.6150,3.4480,0.32,move_early
0.039767,3.7010,0.5830,3.6570,0.35,move_early
0.043354,3.5870,0.5940,3.4680,0.38,move_early
0.048217,4.8630,0.5710,3.6880,0.41,move_early
0.054808,6.5910,0.7390,3.6590,0.44,move_early
0.058708,3.9000,0.6750,3.4700,0.47,move_early
0.063067,4.3590,0.6810,4.0490,0.50,move_early
0.067060,3.9930,0.6170,3.7100,0.53,move_early
0.070522,3.4620,0.6550,3.4990,0.56,move_early
0.074207,3.6850,0.7490,3.6680,0.59,move_early
0.077820,3.6130,0.6090,3.4670,0.62,move_early
0.081500,3.6800,0.6550,3.6470,0.65,move_early
0.085058,3.5580,0.5820,3.4400,0.68,move_early
0.088726,3.6680,0.6450,3.6130,0.71,move_early
0.092259,3.5330,0.6160,3.4730,0.74,move_early
0.096291,4.0320,0.6510,3.6680,0.77,move_early
0.103283,6.9920,0.5860,3.6590,0.80,move_early
0.107723,4.4400,0.6150,3.4760,0.82,move_early
0.111045,3.3220,0.6170,3.4630,0.85,move_early
0.114649,3.6040,0.5990,3.6410,0.88,move_early
0.118128,3.4790,0.6010,3.4820,0.91,move_early
0.121870,3.7420,0.6090,3.6340,0.94,move_early
0.125587,3.7170,0.5720,3.6210,0.97,move_early
0.129365,3.7780,0.5690,3.7500,1.00,move_early
0.132943,3.5780,0.5900,3.4550,1.03,move_early
0.136794,3.8510,0.6290,3.6720,1.06,move_early
0.140521,3.7270,0.5770,3.4730,1.09,move_early
0.144012,3.4910,0.5820,3.6810,1.12,move_early
0.147774,3.7620,0.5810,3.4760,1.15,move_early
0.152920,5.1460,0.5810,3.6390,1.18,move_early
0.158025,5.1050,0.6100,3.6730,1.21,move_early
0.161457,3.4320,0.5800,3.4820,1.25,move_early
0.165448,3.9910,0.6140,3.9300,1.28,move_early
0.169215,3.7670,0.5720,3.7410,1.31,move_early
0.172839,3.6240,0.6410,3.5010,1.34,move_early
0.176613,3.7740,0.5740,3.7140,1.37,move_early
0.180210,3.5970,0.5990,3.5060,1.40,move_early
0.184666,4.4560,0.6040,4.3590,1.44,move_early
0.188263,3.5970,0.6320,3.4890,1.47,move_early
0.192341,4.0780,0.5730,3.9860,1.50,move_early
0.195833,3.4920,0.5790,3.4750,1.53,move_early
0.199886,4.0530,0.5550,3.6980,1.56,move_early
0.203517,3.6310,0.7540,3.4750,1.59,move_early
0.207214,3.6970,0.6020,3.4580,1.62,move_early
0.210851,3.6370,0.5680,3.6910,1.65,move_early
0.214411,3.5600,0.6350,3.4410,1.68,move_early
