t_s,frame_ms,cpu_ms,gpu_ms,dist_m,phase
0.000046,0.0460,0.4270,2.9350,0.00,move_early
0.003371,3.3250,0.4210,2.9720,0.00,move_early
0.006345,2.9740,0.5140,2.9760,0.03,move_early
0.010388,4.0430,0.4460,3.6400,0.05,move_early
0.014515,4.1270,0.5960,3.9970,0.08,move_early
0.018516,4.0010,0.4220,3.3700,0.11,move_early
0.022286,3.7700,0.4290,3.5470,0.13,move_early
0.025282,2.9960,0.4150,2.9260,0.16,move_early
0.028276,2.9940,0.4180,2.9410,0.19,move_early
0.031323,3.0470,0.4160,2.9500,0.21,move_early
0.034628,3.3050,0.4210,3.2250,0.24,move_early
0.038083,3.4550,0.4300,2.9520,0.27,move_early
0.040842,2.7590,0.4210,2.9320,0.29,move_early
0.043873,3.0310,0.4250,2.9520,0.32,move_early
0.046851,2.9780,0.4330,2.9140,0.35,move_early
0.049937,3.0860,0.4300,2.9440,0.37,move_early
0.052928,2.9910,0.4120,2.9370,0.40,move_early
0.055953,3.0250,0.4350,2.9300,0.43,move_early
0.058955,3.0020,0.4290,2.9300,0.45,move_early
0.062023,3.0680,0.4270,2.9260,0.48,move_early
0.064982,2.9590,0.4420,2.9350,0.51,move_early
0.068027,3.0450,0.4190,2.9370,0.53,move_early
0.070999,2.9720,0.4370,2.9290,0.56,move_early
0.074044,3.0450,0.4310,2.9570,0.59,move_early
0.077035,2.9910,0.4520,2.9500,0.61,move_early
0.080052,3.0170,0.4080,2.9360,0.64,move_early
0.083056,3.0040,0.4250,2.9310,0.67,move_early
0.086054,2.9980,0.5580,2.9460,0.69,move_early
0.089091,3.0370,0.5550,2.9440,0.72,move_early
0.092117,3.0260,0.4200,2.9300,0.74,move_early
0.095168,3.0510,0.4210,2.9280,0.76,move_early
0.098167,2.9990,0.4170,2.9470,0.79,move_early
0.101354,3.1870,0.4160,2.9380,0.81,move_early
0.104387,3.0330,0.4460,2.9400,0.84,move_early
0.110460,6.0730,0.4140,2.9350,0.86,move_early
0.115022,4.5620,0.5730,2.9180,0.90,move_early
0.118929,3.9070,0.4200,2.9410,0.92,move_early
0.122431,3.5020,0.4550,2.9530,0.95,move_early
0.125549,3.1180,0.4600,2.9460,0.98,move_early
0.128810,3.2610,0.4080,2.9400,1.00,move_early
0.132000,3.1900,0.4160,2.9350,1.03,move_early
0.135174,3.1740,0.4320,2.9550,1.06,move_early
0.138291,3.1170,0.4420,2.9370,1.08,move_early
0.141389,3.0980,0.4140,2.9550,1.11,move_early
0.144502,3.1130,0.4120,2.9460,1.14,move_early
0.147611,3.1090,0.4300,2.9630,1.16,move_early
0.150787,3.1760,0.4210,2.9460,1.19,move_early
0.153950,3.1630,0.4160,2.9410,1.22,move_early
0.157085,3.1350,0.4370,2.9510,1.24,move_early
0.160216,3.1310,0.4330,2.9750,1.27,move_early
0.163457,3.2410,0.4410,2.9500,1.30,move_early
0.166691,3.2340,0.4180,3.1580,1.32,move_early
0.169851,3.1600,0.4060,2.9280,1.35,move_early
0.173096,3.2450,0.4250,2.9510,1.38,move_early
0.176241,3.1450,0.4740,2.9600,1.40,move_early
0.179365,3.1240,0.4190,2.9340,1.43,move_early
0.182756,3.3910,0.4280,2.9800,1.46,move_early
0.185921,3.1650,0.4440,2.9460,1.48,move_early
0.189128,3.2070,0.4290,2.9750,1.51,move_early
0.192273,3.1450,0.4320,2.9380,1.53,move_early
0.195669,3.3960,0.4280,2.9630,1.56,move_early
0.198889,3.2200,0.4610,3.2160,1.58,move_early
0.202024,3.1350,0.4230,2.9690,1.61,move_early
0.205119,3.0950,0.4270,2.9330,1.63,move_early
0.208292,3.1730,0.4280,2.9820,1.66,move_early
0.211511,3.2190,0.4450,2.9370,1.68,move_early
0.214843,3.3320,0.4340,2.9520,1.70,move_early
0.217981,3.1380,0.5730,2.9320,1.73,move_early
0.221136,3.1550,0.4350,2.9300,1.75,move_early
0.225339,4.2030,0.4200,2.9310,1.78,move_early
0.229111,3.7720,0.4210,2.9390,1.80,move_early
0.232326,3.2150,0.4830,2.9430,1.83,move_early
0.235442,3.1160,0.4710,3.1750,1.85,move_early
0.238605,3.1630,0.4340,2.9420,1.87,move_early
0.241714,3.1090,0.4200,2.9450,1.90,move_early
0.244770,3.0560,0.4250,2.9540,1.92,move_early
0.247791,3.0210,0.4390,2.9450,1.95,move_early
0.250822,3.0310,0.4080,2.9320,1.97,move_early
0.253881,3.0590,0.4140,2.9290,2.00,move_early
0.256944,3.0630,0.4250,2.9290,2.02,move_early
0.260087,3.1430,0.4290,2.9190,2.04,move_early
0.263192,3.1050,0.4230,2.9330,2.07,move_early
0.266442,3.2500,0.4320,3.2220,2.09,move_early
0.269927,3.4850,0.4080,3.1520,2.12,move_early
0.275869,5.9420,0.4230,2.9400,2.14,move_early
0.280029,4.1600,0.6170,2.9370,2.16,move_early
0.283356,3.3270,0.4270,2.9350,2.19,move_early
0.286643,3.2870,0.4140,2.9520,2.22,move_early
0.290031,3.3880,0.4060,2.9480,2.24,move_early
0.293678,3.6470,0.4840,2.9510,2.27,move_early
0.297111,3.4330,0.5120,2.9350,2.30,move_early
0.300507,3.3960,0.4180,3.1500,2.32,move_early
0.303836,3.3290,0.4460,2.9360,2.35,move_early
0.307121,3.2850,0.4220,2.9470,2.38,move_early
0.312295,5.1740,0.4180,2.9490,2.40,move_early
0.315889,3.5940,0.4350,2.9430,2.43,move_early
0.319247,3.3580,0.5590,2.9400,2.46,move_early
0.322612,3.3650,0.4420,2.9450,2.48,move_early
0.325950,3.3380,0.4190,2.9390,2.51,move_early
0.329323,3.3730,0.4290,2.9250,2.54,move_early
0.332717,3.3940,0.4400,2.9420,2.56,move_early
0.336105,3.3880,0.4510,2.9320,2.59,move_early
0.339445,3.3400,0.4840,2.9310,2.62,move_early
0.342778,3.3330,0.4190,2.9430,2.64,move_early
0.346036,3.2580,0.4460,2.9430,2.67,move_early
0.349419,3.3830,0.4040,2.9440,2.70,move_early
0.353020,3.6010,0.4690,2.9390,2.72,move_early
0.356444,3.4240,0.5680,2.9220,2.75,move_early
0.365454,9.0100,0.4620,2.9480,2.78,move_early
0.378148,12.6940,0.4390,2.9370,2.82,move_early
0.386693,8.5450,0.5090,2.9260,2.92,move_early
0.391028,4.3350,0.5460,2.9500,2.99,move_early
0.393885,2.8570,0.5330,2.9010,3.03,move_early
0.396865,2.9800,0.4880,2.9090,3.07,move_early
0.399799,2.9340,0.4250,2.9120,3.12,move_early
0.402732,2.9330,0.4310,2.8980,3.16,move_early
0.405739,3.0070,0.4270,2.9150,3.21,move_early
0.408687,2.9480,0.4530,2.9020,3.25,move_early
0.411672,2.9850,0.4540,2.8980,3.29,move_early
0.414652,2.9800,0.5620,2.8890,3.32,move_early
0.417626,2.9740,0.4320,2.8910,3.34,move_early
0.420542,2.9160,0.4290,2.9080,3.37,move_early
0.423565,3.0230,0.4560,2.8920,3.39,move_early
0.426514,2.9490,0.4090,2.9140,3.41,move_early
0.429538,3.0240,0.5480,2.9130,3.44,move_early
0.433043,3.5050,0.4110,2.9400,3.46,move_early
0.435744,2.7010,0.4230,2.9320,3.49,move_early
0.438760,3.0160,0.4180,2.9320,3.51,move_early
0.441871,3.1110,0.4220,2.9370,3.54,move_early
0.444770,2.8990,0.4200,2.9230,3.56,move_early
0.447804,3.0340,0.4360,2.9410,3.58,move_early
0.450820,3.0160,0.4170,2.9500,3.61,move_early
0.453813,2.9930,0.4150,2.9390,3.63,move_early
0.457175,3.3620,0.4430,3.2130,3.66,move_early
0.460212,3.0370,0.4370,2.9240,3.68,move_early
0.463383,3.1710,0.4420,3.1590,3.70,move_early
0.466450,3.0670,0.4340,2.9380,3.73,move_early
0.469398,2.9480,0.4250,2.9220,3.75,move_early
0.472463,3.0650,0.4270,2.9450,3.78,move_early
0.475498,3.0350,0.4170,2.9440,3.80,move_early
0.478557,3.0590,0.4210,2.9370,3.83,move_early
0.481499,2.9420,0.5070,2.9370,3.85,move_early
0.484539,3.0400,0.4160,2.9340,3.87,move_early
0.487593,3.0540,0.4130,2.9530,3.90,move_early
0.490644,3.0510,0.4620,2.9470,3.92,move_early
0.493692,3.0480,0.4140,2.9280,3.95,move_early
0.496586,2.8940,0.4120,2.9260,3.97,move_early
0.499643,3.0570,0.4110,2.9550,4.00,move_early
0.502659,3.0160,0.4240,2.9380,4.02,move_early
0.505671,3.0120,0.4300,2.9270,4.04,move_early
0.508657,2.9860,0.5390,2.9410,4.07,move_early
0.511701,3.0440,0.4200,2.9420,4.09,move_early
0.514725,3.0240,0.4310,2.9530,4.12,move_early
0.517798,3.0730,0.4200,2.9300,4.14,move_early
0.520707,2.9090,0.4200,2.9290,4.17,move_early
0.523732,3.0250,0.4170,2.9470,4.19,move_early
0.530850,7.1180,0.4110,2.9330,4.21,move_early
0.534920,4.0700,0.4130,3.1690,4.24,move_early
0.537373,2.4530,0.4520,2.9440,4.26,move_early
0.540578,3.2050,0.4880,2.9340,4.29,move_early
0.543307,2.7290,0.4260,2.9250,4.31,move_early
0.546349,3.0420,0.4190,2.9510,4.33,move_early
0.549324,2.9750,0.4160,2.9220,4.36,move_early
0.552589,3.2650,0.4210,2.9510,4.38,move_early
0.555390,2.8010,0.4230,2.9270,4.41,move_early
0.558446,3.0560,0.4730,2.9620,4.43,move_early
0.561430,2.9840,0.4320,2.9370,4.46,move_early
0.564414,2.9840,0.4360,2.9390,4.48,move_early
0.567401,2.9870,0.4270,2.9210,4.50,move_early
0.570408,3.0070,0.4250,2.9300,4.53,move_early
0.573454,3.0460,0.5390,2.9360,4.55,move_early
0.576501,3.0470,0.4100,2.9330,4.58,move_early
0.579543,3.0420,0.3960,2.9490,4.60,move_early
0.582560,3.0170,0.4050,2.9440,4.63,move_early
0.585566,3.0060,0.4100,2.9540,4.65,move_early
0.588568,3.0020,0.4190,2.9320,4.67,move_early
0.591638,3.0700,0.4130,2.9540,4.70,move_early
0.594704,3.0660,0.4110,2.9500,4.72,move_early
0.598131,3.4270,0.4180,3.4070,4.75,move_early
0.601168,3.0370,0.4440,2.9490,4.77,move_early
0.604178,3.0100,0.4190,2.9380,4.80,move_early
0.607277,3.0990,0.4110,2.9480,4.82,move_early
0.610314,3.0370,0.4120,2.9380,4.84,move_early
0.613298,2.9840,0.4160,2.9440,4.87,move_early
0.616313,3.0150,0.4030,2.9440,4.89,move_early
0.619330,3.0170,0.4160,2.9490,4.92,move_early
0.622499,3.1690,0.4260,2.9370,4.94,move_early
0.625408,2.9090,0.4390,2.9340,4.97,move_early
0.628504,3.0960,0.4250,2.9490,4.99,move_early
0.634342,5.8380,0.4420,2.9340,5.01,move_early
0.638590,4.2480,0.4340,2.9390,5.04,move_early
0.641402,2.8120,0.4500,2.9400,5.06,move_early
0.644287,2.8850,0.4230,2.9540,5.09,move_early
0.647375,3.0880,0.4360,2.9310,5.11,move_early
0.650316,2.9410,0.4150,2.9180,5.14,move_early
0.653349,3.0330,0.4090,2.9430,5.16,move_early
0.656414,3.0650,0.4130,2.9420,5.18,move_early
0.659389,2.9750,0.4200,2.9200,5.21,move_early
0.666211,6.8220,0.4150,2.9380,5.23,move_early
0.669236,3.0250,0.4470,2.9310,5.26,move_early
0.672140,2.9040,0.4310,2.9270,5.29,move_early
0.675024,2.8840,0.4250,2.9320,5.31,move_early
0.678145,3.1210,0.4160,2.9420,5.34,move_early
0.681059,2.9140,0.5930,2.9390,5.37,move_early
0.684567,3.5080,0.4390,2.9380,5.39,move_early
0.687526,2.9590,0.5600,2.9320,5.42,move_early
0.690418,2.8920,0.4420,2.9360,5.45,move_early
0.693445,3.0270,0.4160,2.9310,5.47,move_early
0.696685,3.2400,0.4220,3.1410,5.50,move_early
0.699666,2.9810,0.4250,2.9270,5.53,move_early
0.702842,3.1760,0.4230,2.9310,5.55,move_early
0.705784,2.9420,0.4550,2.9440,5.58,move_early
0.708825,3.0410,0.4360,2.9350,5.60,move_early
0.711744,2.9190,0.4160,2.9170,5.63,move_early
0.714824,3.0800,0.4350,2.9310,5.65,move_early
0.717811,2.9870,0.4170,2.9450,5.68,move_early
0.720810,2.9990,0.4160,2.9480,5.70,move_early
0.723964,3.1540,0.4390,2.9190,5.72,move_early
0.726951,2.9870,0.4280,2.9400,5.75,move_early
0.729868,2.9170,0.4140,2.9390,5.77,move_early
0.732881,3.0130,0.4240,2.9510,5.80,move_early
0.735882,3.0010,0.4200,2.9300,5.82,move_early
0.738923,3.0410,0.4300,2.9370,5.85,move_early
0.741958,3.0350,0.4330,2.9400,5.87,move_early
0.745009,3.0510,0.4600,2.9850,5.89,move_early
0.748028,3.0190,0.4190,2.9530,5.92,move_early
0.751049,3.0210,0.4330,2.9220,5.94,move_early
0.754037,2.9880,0.4200,2.9230,5.97,move_early
0.757058,3.0210,0.4130,2.9430,5.99,move_early
0.760185,3.1270,0.4290,2.9360,6.01,move_early
0.763158,2.9730,0.4450,2.9350,6.04,move_early
0.766419,3.2610,0.4270,3.1800,6.06,move_early
0.769404,2.9850,0.4290,2.9350,6.09,move_early
0.772418,3.0140,0.4260,2.9310,6.11,move_early
0.775415,2.9970,0.4510,2.9530,6.14,move_early
0.778449,3.0340,0.4190,2.9330,6.16,move_early
0.781513,3.0640,0.4260,2.9640,6.18,move_early
0.784506,2.9930,0.4250,2.9430,6.21,move_early
0.787528,3.0220,0.4250,2.9400,6.23,move_early
0.790666,3.1380,0.4240,2.9430,6.26,move_early
0.793580,2.9140,0.4350,2.9400,6.28,move_early
0.797037,3.4570,0.4530,3.1650,6.31,move_early
0.800065,3.0280,0.4260,2.9340,6.33,move_early
0.803074,3.0090,0.4420,2.9440,6.36,move_early
0.806108,3.0340,0.4220,2.9200,6.38,move_early
0.809099,2.9910,0.4820,2.9320,6.41,move_early
0.812062,2.9630,0.4380,2.9420,6.43,move_early
0.815214,3.1520,0.4240,2.9290,6.45,move_early
0.818137,2.9230,0.4340,2.9430,6.48,move_early
0.821184,3.0470,0.4130,2.9340,6.50,move_early
0.824187,3.0030,0.4430,2.9440,6.53,move_early
0.827331,3.1440,0.4370,2.9790,6.55,move_early
0.830248,2.9170,0.4090,2.9450,6.58,move_early
0.833333,3.0850,0.4300,2.9640,6.60,move_early
0.836379,3.0460,0.4000,2.9520,6.62,move_early
0.839379,3.0000,0.4060,2.9410,6.65,move_early
0.842329,2.9500,0.4230,2.9460,6.67,move_early
0.845371,3.0420,0.4470,2.9410,6.70,move_early
0.848389,3.0180,0.4210,2.9590,6.72,move_early
0.851374,2.9850,0.4190,2.9470,6.74,move_early
0.854601,3.2270,0.4210,2.9610,6.77,move_early
0.857540,2.9390,0.4110,2.9340,6.79,move_early
0.860534,2.9940,0.4970,2.9350,6.82,move_early
0.863573,3.0390,0.4170,2.9940,6.84,move_early
0.866803,3.2300,0.4420,3.1620,6.87,move_early
0.869882,3.0790,0.4220,2.9640,6.89,move_early
0.872892,3.0100,0.5480,2.9480,6.92,move_early
0.875991,3.0990,0.4270,2.9710,6.94,move_early
0.878976,2.9850,0.4210,2.9560,6.96,move_early
0.882012,3.0360,0.4130,2.9810,6.99,move_early
0.892066,10.0540,0.4170,2.9580,7.01,move_early
0.900691,8.6250,0.4300,2.9420,7.04,move_early
0.904534,3.8430,0.5030,3.1850,7.10,move_early
0.907110,2.5760,0.5230,2.9640,7.13,move_early
