t_s,frame_ms,cpu_ms,gpu_ms,dist_m,phase
0.000042,0.0420,0.4320,2.6080,0.00,move_early
0.003664,3.6220,0.4470,3.1050,0.00,move_early
0.006563,2.8990,0.4170,2.6180,0.15,move_early
0.011594,5.0310,0.4230,3.3250,0.30,move_early
0.014950,3.3560,0.4360,3.8680,0.44,move_early
0.026027,11.0770,0.6250,2.6040,0.59,move_early
0.030672,4.6450,0.4500,3.8700,0.75,move_early
0.033466,2.7940,0.5170,2.6060,0.92,move_early
0.037492,4.0260,0.4800,4.4070,1.09,move_early
0.040641,3.1490,0.4620,2.5990,1.25,move_early
0.050310,9.6690,0.5880,4.3850,1.42,move_early
0.053102,2.7920,0.6700,2.5960,1.62,move_early
0.056695,3.5930,0.4410,3.8680,1.79,move_early
0.059682,2.9870,0.4760,2.5930,1.92,move_early
0.065132,5.4500,0.4310,3.8690,2.09,move_early
0.067516,2.3840,0.4490,2.6060,2.25,move_early
0.071825,4.3090,0.5200,4.3340,2.42,move_early
0.074553,2.7280,0.4310,2.5920,2.59,move_early
0.078943,4.3900,0.5070,3.0970,2.75,move_early
0.081584,2.6410,0.4640,2.6020,2.92,move_early
0.086050,4.4660,0.4500,4.3830,3.09,move_early
0.088741,2.6910,0.4210,2.5940,3.25,move_early
0.093140,4.3990,0.4380,4.2960,3.42,move_early
0.095796,2.6560,0.4210,2.5890,3.59,move_early
0.100184,4.3880,0.4250,4.2880,3.75,move_early
0.103028,2.8440,0.4210,2.5870,3.92,move_early
0.107252,4.2240,0.4330,4.3050,4.09,move_early
0.109988,2.7360,0.4350,2.6020,4.25,move_early
0.114366,4.3780,0.5590,3.1120,4.42,move_early
0.117076,2.7100,0.4170,2.6510,4.56,move_early
0.121554,4.4780,0.4380,3.1230,4.71,move_early
0.124937,3.3830,0.4410,2.6150,4.86,move_early
0.128591,3.6540,0.5830,3.0890,5.01,move_early
0.131273,2.6820,0.4660,2.6360,5.16,move_early
0.135657,4.3840,0.4420,3.0830,5.31,move_early
0.138338,2.6810,0.4220,2.6160,5.45,move_early
0.142885,4.5470,0.4490,3.2810,5.60,move_early
0.146910,4.0250,0.4360,3.8820,5.75,move_early
0.150117,3.2070,0.4430,2.6210,5.90,move_early
0.154061,3.9440,0.4440,3.8650,6.05,move_early
0.157173,3.1120,0.4280,2.6010,6.19,move_early
0.161169,3.9960,0.4260,3.8590,6.34,move_early
0.174988,13.8190,0.4170,2.6210,6.49,move_early
0.186417,11.4290,0.4590,3.8550,6.66,move_early
0.195018,8.6010,0.5420,3.8710,7.07,move_early
0.199658,4.6400,0.5010,2.5900,7.42,move_early
0.203194,3.5360,0.5580,2.5840,7.64,move_early
0.205901,2.7070,0.5130,2.5980,7.86,move_early
0.209720,3.8190,0.6420,3.8500,8.08,move_early
0.212846,3.1260,0.5520,2.5920,8.31,move_early
0.216832,3.9860,0.4350,3.8650,8.53,move_early
0.220048,3.2160,0.8000,2.6190,8.75,move_early
0.223955,3.9070,0.4330,3.8420,8.97,move_early
0.227067,3.1120,0.4240,2.6020,9.19,move_early
0.231113,4.0460,0.5700,3.8640,9.42,move_early
0.234176,3.0630,0.5770,2.6000,9.54,move_early
0.236832,2.6560,0.4100,2.6190,9.65,move_early
0.241475,4.6430,0.4270,4.5330,9.83,move_early
0.245954,4.4790,0.4670,4.3730,10.01,move_early
0.248629,2.6750,0.4090,2.6000,10.12,move_early
0.253076,4.4470,0.4260,4.3770,10.30,move_early
0.255782,2.7060,0.4400,2.6030,10.40,move_early
0.260100,4.3180,0.4300,3.1020,10.57,move_early
0.262771,2.6710,0.4330,2.5880,10.69,move_early
0.268316,5.5450,0.4170,4.3880,10.85,move_early
0.270824,2.5080,0.4230,2.5890,11.01,move_early
0.274994,4.1700,0.4330,3.1050,11.15,move_early
0.277467,2.4730,0.5760,2.6210,11.27,move_early
0.281658,4.1910,0.4280,3.0790,11.42,move_early
0.284633,2.9750,0.4170,2.6200,11.56,move_early
0.288953,4.3200,0.4070,3.0700,11.71,move_early
0.291852,2.8990,0.3950,2.6210,11.84,move_early
0.296372,4.5200,0.4310,3.0730,11.99,move_early
0.299053,2.6810,0.4310,2.6220,12.13,move_early
0.303147,4.0940,0.5480,3.1090,12.28,move_early
0.306989,3.8420,0.5080,3.8640,12.43,move_early
0.310161,3.1720,0.4290,2.6060,12.56,move_early
0.314166,4.0050,0.4250,3.8890,12.70,move_early
0.317719,3.5530,0.4190,2.6160,12.83,move_early
0.321937,4.2180,0.4290,3.8790,12.96,move_early
0.324495,2.5580,0.5610,2.6070,13.10,move_early
0.328478,3.9830,0.4690,3.8620,13.23,move_early
0.331655,3.1770,0.4260,2.5880,13.36,move_early
0.335527,3.8720,0.4290,3.8780,13.50,move_early
0.338863,3.3360,0.4170,2.5980,13.63,move_early
0.343265,4.4020,0.4150,4.3400,13.76,move_early
0.346008,2.7430,0.4530,2.5810,13.90,move_early
0.350443,4.4350,0.4160,3.1370,14.03,move_early
0.353098,2.6550,0.4610,2.5890,14.16,move_early
0.357536,4.4380,0.4150,4.3530,14.30,move_early
0.360208,2.6720,0.4210,2.5920,14.43,move_early
0.364657,4.4490,0.4410,3.1300,14.56,move_early
0.367307,2.6500,0.4600,2.6010,14.70,move_early
0.371726,4.4190,0.4420,4.3200,14.83,move_early
0.374358,2.6320,0.4390,2.5900,14.96,move_early
0.378799,4.4410,0.4340,4.3530,15.10,move_early
0.381469,2.6700,0.4050,2.6120,15.23,move_early
0.387275,5.8060,0.4380,5.4000,15.36,move_early
0.390926,3.6510,0.4150,3.8630,15.50,move_early
0.394060,3.1340,0.4190,2.6010,15.63,move_early
0.398047,3.9870,0.4180,3.8460,15.76,move_early
0.401164,3.1170,0.4100,2.6020,15.90,move_early
0.405158,3.9940,0.4290,3.8640,16.04,move_early
0.414679,9.5210,0.4160,2.6030,16.18,move_early
0.431882,17.2030,0.4300,4.3990,16.33,move_early
0.443688,11.8060,0.4570,2.9390,16.89,move_early
0.449337,5.6490,0.4920,2.6270,17.37,move_early
0.453394,4.0570,0.5290,2.6010,17.70,move_early
0.455831,2.4370,0.4850,3.0970,18.04,move_early
0.458585,2.7540,0.5020,2.6240,18.37,move_early
0.464118,5.5330,0.4560,4.1400,18.70,move_early
0.468607,4.4890,0.4220,4.3320,18.91,move_early
0.470930,2.3230,0.4410,2.5960,19.02,move_early
0.475484,4.5540,0.4230,4.4550,19.20,move_early
0.478213,2.7290,0.4220,2.5780,19.31,move_early
0.482851,4.6380,0.4110,4.4070,19.49,move_early
0.485403,2.5520,0.4390,2.5880,19.60,move_early
0.489857,4.4540,0.4360,4.3540,19.76,move_early
0.492522,2.6650,0.4070,2.6160,19.88,move_early
0.496927,4.4050,0.4320,3.1060,20.03,move_early
0.499638,2.7110,0.4100,2.6120,20.17,move_early
0.504003,4.3650,0.4100,3.0690,20.33,move_early
0.507275,3.2720,0.4240,2.6030,20.45,move_early
0.511640,4.3650,0.4630,3.0790,20.60,move_early
0.514048,2.4080,0.4950,2.6170,20.74,move_early
0.518323,4.2750,0.4310,3.0860,20.89,move_early
