concept,games,credits,credits_n,credits_confidence,licence,licence_confidence,licence_source,identical_art,distinct_art,images,category,mods,minetest_game,mineclonia,mineclone2,asuna
leaves,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0 | CC0 | GPL-3.0,ambiguous,LEGAL.md | LICENSE | mods/biomes/dorwinion/license.txt,no,7,9,"item,other","badland,default,dorwinion,mcl_cherry_blossom,mcl_core,mcl_mangrove,mcl_pale_oak",default_leaves,"default_leaves,mcl_cherry_blossom_leaves,mcl_mangrove_leaves,mcl_pale_oak_leaves",default_leaves,"badland_leaves,default_leaves,dorwinion_leaves"
sapling,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0 | GPL-3.0,ambiguous,LEGAL.md | LICENSE | mods/default/license.txt,no,5,7,"item,other","badland,default,frost_land,mcl_cherry_blossom,mcl_core",default_sapling,"default_sapling,mcl_cherry_blossom_sapling",default_sapling,"badland_sapling,default_sapling,frost_land_sapling"
tree,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0 | CC0 | GPL-3.0,ambiguous,LEGAL.md | LICENSE | mods/biomes/nightshade/license.txt,no,5,7,"item,other","badland,default,frost_land,mcl_core,nightshade",default_tree,default_tree,default_tree,"badland_tree,default_tree,frost_land_tree,nightshade_tree"
tree_top,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0 | CC0 | GPL-3.0,ambiguous,LEGAL.md | LICENSE | mods/biomes/nightshade/license.txt,no,5,7,"item,other","badland,default,frost_land,mcl_core,nightshade",default_tree_top,default_tree_top,default_tree_top,"badland_tree_top,default_tree_top,frost_land_tree_top,nightshade_tree_top"
wood,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0 | CC0 | GPL-3.0,ambiguous,LEGAL.md | LICENSE | mods/biomes/nightshade/license.txt,no,5,7,"item,other","badland,default,frost_land,mcl_core,nightshade",default_wood,default_wood,default_wood,"badland_wood,default_wood,frost_land_wood,nightshade_wood"
cactus_top,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC BY 3.0 / CC0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC BY 3.0 / CC0 / MIT | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/everness/LICENSE.txt,no,4,6,"item,other","default,everness,mcl_core,x_farming",default_cactus_top,mcl_core_cactus_top,mcl_core_cactus_top,"default_cactus_top,everness_cactus_top,x_farming_cactus_top"
stone,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",24,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY 4.0 / CC BY 3.0 / CC0 / MIT / LGPL-2.1 / LGPL / GPL-3.0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC BY 3.0 / CC0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/ENTITIES/mobs_mc/LICENSE-media.md | mods/default/license.txt,no,4,6,"entity,item,other","default,everness,mcl_core,mobs_mc",default_stone,"default_stone,mobs_mc_stone",default_stone,"default_stone,everness_stone"
brick,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0 | CC0,ambiguous,LEGAL.md | mods/biomes/dorwinion/license.txt | mods/default/license.txt,no,3,5,"item,other","default,dorwinion,mcl_core",default_brick,default_brick,default_brick,"default_brick,dorwinion_brick"
bubble,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC BY 3.0 / CC0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/everness/LICENSE.txt,no,3,5,"hud,other","default,everness,mcl_base_textures",bubble,bubble,bubble,"bubble,everness_bubble"
cactus_side,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC BY 3.0 / CC0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/everness/LICENSE.txt,no,3,5,"item,other","default,everness,mcl_core",default_cactus_side,mcl_core_cactus_side,mcl_core_cactus_side,"default_cactus_side,everness_cactus_side"
