# Pack: Null-MC/Textureless (CC0-1.0), PixelGraph source form
# Game: VoxeLibre (formerly MineClone2)
# Generated with tools/pbr_pack.py --suggest, then reviewed.
# A wrong pair silently dresses one block in another material,
# so review additions rather than trusting the suggester.
# Rejected on review: grass -> default_grass.png, because
# Minecraft's grass is the plant and default_grass.png is the block top.
pack_block,game_texture
acacia_leaves,default_acacia_leaves.png
acacia_log_top,default_acacia_tree_top.png
blast_furnace_front_on,blast_furnace_front_on.png
bone_block_top,mcl_core_bone_block_top.png
bookshelf,default_bookshelf.png
cactus_bottom,mcl_core_cactus_bottom.png
cactus_side,mcl_core_cactus_side.png
cactus_top,mcl_core_cactus_top.png
cobblestone,default_cobble.png
fletching_table_front,fletching_table_front.png
fletching_table_side,fletching_table_side.png
grass_block_side_overlay,mcl_core_grass_block_side_overlay.png
honey_block_bottom,mcl_honey_block_bottom.png
honey_block_side,mcl_honey_block_side.png
honey_block_top,mcl_honey_block_top.png
jungle_log,default_jungletree.png
jungle_log_top,default_jungletree_top.png
lantern,lantern.png
mangrove_roots_side,mcl_mangrove_roots_side.png
mangrove_roots_top,mcl_mangrove_roots_top.png
rail,default_rail.png
stripped_mangrove_log_top,mcl_stripped_mangrove_log_top.png
tnt_side,default_tnt_side.png
oak_log_top,default_tree_top.png
vine,mcl_core_vine.png
