# Pack: Null-MC/Textureless, LabPBR 32x v1.15 (CC0-1.0)
# Game: Mineclonia
# Generated with tools/pbr_pack.py --suggest, then reviewed.
# A wrong pair silently dresses one block in another material,
# so review additions rather than trusting the suggester.
# Rejected on review: grass -> default_grass.png, because
# Minecraft's grass is the plant and default_grass.png is the block top.
pack_block,game_texture
acacia_leaves,default_acacia_leaves.png
acacia_log,default_acacia_tree.png
acacia_wood,default_acacia_wood.png
andesite,mcl_core_andesite.png
bedrock,mcl_core_bedrock.png
blast_furnace_front,blast_furnace_front.png
blast_furnace_front_on,blast_furnace_front_on.png
bone_block_side,mcl_core_bone_block_side.png
bone_block_top,mcl_core_bone_block_top.png
bookshelf,default_bookshelf.png
brewing_stand,mcl_brewing_stand.png
cactus_bottom,mcl_core_cactus_bottom.png
cactus_top,mcl_core_cactus_top.png
cake_bottom,cake_bottom.png
cake_side,cake_side.png
cartography_table_side2,cartography_table_side2.png
cartography_table_top,cartography_table_top.png
clay,default_clay.png
coal_block,default_coal_block.png
coal_ore,mcl_core_coal_ore.png
coarse_dirt,mcl_core_coarse_dirt.png
cobblestone,default_cobble.png
composter_compost,mcl_composter_compost.png
composter_ready,mcl_composter_ready.png
composter_side,mcl_composter_side.png
composter_top,mcl_composter_top.png
copper_block,mcl_copper_block.png
crimson_hyphae,crimson_hyphae.png
crimson_nylium,crimson_nylium.png
crimson_roots,crimson_roots.png
crying_obsidian,mcl_core_crying_obsidian.png
deepslate_bricks,mcl_deepslate_bricks.png
deepslate_coal_ore,mcl_deepslate_coal_ore.png
deepslate_diamond_ore,mcl_deepslate_diamond_ore.png
deepslate_iron_ore,mcl_deepslate_iron_ore.png
deepslate_lapis_ore,mcl_deepslate_lapis_ore.png
deepslate_redstone_ore,mcl_deepslate_redstone_ore.png
deepslate_top,mcl_deepslate_top.png
diamond_block,default_diamond_block.png
diamond_ore,mcl_core_diamond_ore.png
diorite,mcl_core_diorite.png
dirt,default_dirt.png
dripstone_block,dripstone_block.png
emerald_block,mcl_core_emerald_block.png
enchanting_table_bottom,mcl_enchanting_table_bottom.png
enchanting_table_side,mcl_enchanting_table_side.png
enchanting_table_top,mcl_enchanting_table_top.png
fletching_table_front,fletching_table_front.png
furnace_top,default_furnace_top.png
glass,default_glass.png
gold_block,default_gold_block.png
gold_ore,mcl_core_gold_ore.png
granite,mcl_core_granite.png
grass_block_side_overlay,mcl_core_grass_block_side_overlay.png
grass_block_top,mcl_core_grass_block_top.png
gravel,default_gravel.png
honey_block_bottom,mcl_honey_block_bottom.png
honey_block_top,mcl_honey_block_top.png
ice,default_ice.png
iron_ore,mcl_core_iron_ore.png
jungle_log,default_jungletree.png
jungle_log_top,default_jungletree_top.png
jungle_planks,default_junglewood.png
ladder,default_ladder.png
lapis_block,mcl_core_lapis_block.png
mossy_cobblestone,default_mossycobble.png
mycelium_top,mcl_core_mycelium_top.png
nether_gold_ore,mcl_nether_gold_ore.png
nether_quartz_ore,mcl_nether_quartz_ore.png
nether_sprouts,nether_sprouts.png
nether_wart_block,nether_wart_block.png
obsidian,default_obsidian.png
red_sand,mcl_core_red_sand.png
red_sandstone_bottom,mcl_core_red_sandstone_bottom.png
red_sandstone_top,mcl_core_red_sandstone_top.png
redstone_ore,mcl_core_redstone_ore.png
sand,default_sand.png
sandstone_top,mcl_core_sandstone_top.png
shroomlight,shroomlight.png
smithing_table_front,mcl_smithing_table_front.png
smithing_table_side,mcl_smithing_table_side.png
smoker_bottom,smoker_bottom.png
smoker_front,smoker_front.png
smoker_front_on,smoker_front_on.png
snow,default_snow.png
stone,default_stone.png
stonecutter_bottom,mcl_stonecutter_bottom.png
stonecutter_saw,mcl_stonecutter_saw.png
stonecutter_side,mcl_stonecutter_side.png
stonecutter_top,mcl_stonecutter_top.png
stripped_crimson_stem,stripped_crimson_stem.png
stripped_warped_stem,stripped_warped_stem.png
stripped_warped_stem_top,stripped_warped_stem_top.png
tnt_bottom,default_tnt_bottom.png
tnt_side,default_tnt_side.png
oak_log,default_tree.png
oak_log_top,default_tree_top.png
twisting_vines,twisting_vines.png
warped_nylium,warped_nylium.png
warped_roots,warped_roots.png
warped_wart_block,warped_wart_block.png
oak_planks,default_wood.png
