# Pack: Null-MC/Textureless, LabPBR 32x v1.15 (CC0-1.0)
# Game: Minetest Game
# Generated with tools/pbr_pack.py --suggest, then reviewed by hand.
# The suggester matches on name, so a wrong pair silently dresses
# one block in another block's material. Review any addition.
# One pack block may dress several game textures: this pack ships its
# own flat diffuse, so its relief was never aligned to these games'
# art in the first place, and it reads as plausible rather than exact.
# Rejected here: grass (Minecraft's is the short plant, these games'
# is the block top), mcl_banners_bricks (a banner pattern) and
# mobs_mc_stone (mob art, not a node).
pack_block,game_texture
acacia_leaves,default_acacia_leaves.png
acacia_log,default_acacia_tree.png
acacia_wood,default_acacia_wood.png
bookshelf,default_bookshelf.png
cactus_top,default_cactus_top.png
clay,default_clay.png
coal_block,default_coal_block.png
cobblestone,default_cobble.png
copper_block,default_copper_block.png
diamond_block,default_diamond_block.png
dirt,default_dirt.png
furnace_top,default_furnace_top.png
glass,default_glass.png
gold_block,default_gold_block.png
gravel,default_gravel.png
ice,default_ice.png
jungle_log,default_jungletree.png
jungle_log_top,default_jungletree_top.png
jungle_planks,default_junglewood.png
kelp,default_kelp.png
mossy_cobblestone,default_mossycobble.png
oak_log,default_tree.png
oak_log_top,default_tree_top.png
oak_planks,default_wood.png
obsidian,default_obsidian.png
obsidian,default_obsidian_block.png
sand,default_sand.png
sandstone,default_sandstone.png
snow,default_snow.png
stone,default_stone.png
tnt_bottom,tnt_bottom.png
tnt_side,tnt_side.png
